name, addr, equipment, inclusive, fitness, others, lat, lng
牟礼児童遊園,防府市大字牟礼1054-2,ブランコ(4連)、複合遊具、砂場,ホットポット、リングスイング、ゆらゆらブリッジ,ぶらさがり,水道、パーゴラ、ベンチ(12基),34.0431734,131.6121328
防府市記念モデル児童遊園,防府市三田尻三丁目55-1,ブランコ(4連)、スベリ台、複合遊具、ターザンロープ、置物遊具(いぬ・らくだ・うさぎ・くも)、スイング遊具(飛行機・いぬ)、砂場、築山,ホットポット、複合遊具,ぶらさがり,トイレ、水道、パーゴラ、ベンチ(7基)、駐車場,34.04531451,131.5787339
北山手児童遊園,防府市大字田島2171-3,ブランコ(4連)、複合遊具、砂場、置物遊具(馬),,,トイレ、水道、パーゴラ、ベンチ(6基),34.0241692,131.5375159
向島児童遊園,防府市大字向島379-24,ブランコ(2連)、スベリ台、シーソー、ラダー,ホットポット、三角ボルダリング、パネルプレイ,ストレッチベンチ、バランス渡り,,34.02005564,131.5826127
小田児童遊園,防府市大字向島1366-3,鉄棒(2連)、シーソー(2連),,,,33.99906662,131.5636542
自力児童遊園,防府市自力町1724-1,鉄棒(2連)、シーソー,,,水道、ベンチ(1基),34.04282811,131.5750529
下津令児童遊園,防府市大字台道5577,ブランコ(2連)、ボール型ジャングルジム、鉄棒(2連)、鉄棒,,,トイレ、ベンチ(2基),34.04840177,131.4747538
日の出広場児童遊園,防府市本橋町543,鉄棒(3連)、シーソー、砂場,ウォールクライム、ブランコ、複合遊具,ぶらさがり,水道、ベンチ(6基),34.06559718,131.5661326
亀塚市営住宅団地,防府市車塚町10-37,ブランコ(2連)、スベリ台、回転ジム,,,,34.05002729,131.5738719
沖ノ原開発広場,防府市大字江泊1100-14,ブランコ(4連),,,,34.04520896,131.6117984
東塩屋開発広場,防府市大字江泊字1987-94,ブランコ(2連)、シーソー,,,,34.04708668,131.6058832
上地六筋第六開発広場,防府市大字田島411-14,ブランコ(2連)、鉄棒(2連),,,,34.02204324,131.5530492
上地鋳物師開発広場,防府市大字田島933-3,鉄棒(3連),,,,34.03502334,131.5575267
寺山開発広場,防府市岩畠二丁目987-41,鉄棒(3連),,,,34.06275961,131.5924232
木船開発広場,防府市大字西浦1458-34,ブランコ(2連),複合遊具,ストレッチベンチ,,34.02469139,131.5224353
大繁枝開発広場,防府市大字台道1354-143,ブランコ(2連),,,,34.05171872,131.490397
小茅開発広場,防府市大字西浦377-2,ブランコ(2連),,,,34.01435521,131.5213754
五ノ山門開発広場,防府市大字牟礼858-19,ブランコ(2連),,,,34.06434162,131.6146612
地神堂開発広場,防府市大字仁井令986-10,スベリ台,,,,34.03846322,131.5564979
石が口三丁目第二開発広場,防府市石が口三丁目932-4,鉄棒(3連),,,,34.04154655,131.5626983
大繁枝第二開発広場,防府市大字台道1354-154,鉄棒(2連),,,,34.05167967,131.4919254
土田開発広場,防府市敷山町871-13,スベリ台、鉄棒(3連),,,,34.06797067,131.5951222
西慶田開発広場,防府市大字伊佐江225-215,ブランコ(2連)、スベリ台,,,,34.04064965,131.5521501
華城団地開発広場,防府市華城中央二丁目1213-18,鉄棒(3連),,,,34.04599675,131.5415591
開出西団地開発広場,防府市開出西町1883-17,ブランコ(2連)、スベリ台,,,,34.05407616,131.5456366
自由ヶ丘中央広場開発広場,防府市自由ヶ丘二丁目102-18,複合遊具,ブランコ(2連),ぶらさがり・平行棒,トイレ、水道,34.07088809,131.5392137
自由ヶ丘三丁目開発広場,防府市自由ヶ丘三丁目276-1670,ブランコ(4連)、スベリ台,,,,34.06927022,131.5424446
自由ヶ丘一丁目1号開発広場,防府市自由ヶ丘一丁目1096-15,鉄棒(3連)、シーソー(2連),,,,34.06873576,131.5385141
自由ヶ丘四丁目1号開発広場,防府市自由ヶ丘四丁目276-519,スベリ台,,,,34.07214332,131.5394637
自由ヶ丘一丁目2号開発広場,防府市自由ヶ丘一丁目1183-3,スベリ台,,,,34.06947506,131.536298
自由ヶ丘二丁目2号開発広場,防府市自由ヶ丘二丁目276-1999,ブランコ(4連)、スベリ台,,,,34.07114373,131.5336795
自由ヶ丘四丁目3号開発広場,防府市自由ヶ丘四丁目276-1443,スベリ台,,,,34.07262484,131.5344508
遠藤東四ノ丁開発広場,防府市大字田島1827-4,鉄棒,,,,34.02575653,131.5446038
江川河川敷公園,防府市勝間三丁目646-9,スベリ台,,,四阿、ベンチ(●基),34.05156589,131.5888246
野島港待合所,防府市大字野島,,ブランコ(2連),ストレッチベンチ,,33.94288085,131.6943784
真尾公会堂,防府市大字真尾695,,ブランコ(4連)、複合遊具,ぶらさがり,トイレ、四阿、ベンチ,34.10321297,131.5995316
